"","trip.no","area.id","date","grid.id","trap.id","observer","fate","tag.left","tag.right","species","sex","weight","length","notch","repro.stat","died","trap.note","valley","grid","month","year","day.ord"
"11",1,"P-",1999-05-11,"M2","A7","","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M2","May",1999,1
"18",1,"P-",1999-05-11,"MR1","F4","","NEW","1044","1099","Rat","F",115,160,"","Adult","","","egl","egl MR1","May",1999,1
"44",1,"P-",1999-05-11,"R1","E1","","NEW","1036","1039","Rat","F",123,150,"","Adult","","Pregnant ?","egl","egl R1","May",1999,1
"153",1,"P-",1999-05-14,"M1","C9","","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","May",1999,4
"228",1,"P-",1999-05-15,"M2","F4","","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M2","May",1999,5
"257",1,"P-",1999-05-15,"R2","B1","","NEW","1037","1041","Rat","F",113,155,"","Adult","","","egl","egl R2","May",1999,5
"294",1,"P+",1999-05-07,"M2","I7","","DEAD","","","Rat","M",31,NA,"","Juv","","first rat","hol","hol M2","May",1999,2
"371",1,"P+",1999-05-09,"MR2","F3","","NEW","1109","1139","Rat","M",20,90,"","Juv","","","hol","hol MR2","May",1999,4
"394",2,"P-",1999-08-04,"M1","B3","Yockney","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","Aug",1999,1
"470",2,"P-",1999-08-04,"MR2","G5","Drew","NEW","1119","1135","Rat","F",89,145,"Win","Juv","","","egl","egl MR2","Aug",1999,1
"505",2,"P-",1999-08-04,"R2","D1","Young","NEW","1195","1021","Rat","M",129,170,"","Adult","","","egl","egl R2","Aug",1999,1
"524",2,"P-",1999-08-05,"M1","A8","Young","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","Aug",1999,2
"533",2,"P-",1999-08-05,"M1","E6","Young","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","Aug",1999,2
"552",2,"P-",1999-08-05,"MR1","B4","Ruscoe","NEW","1131","1125","Rat","F",94,150,"Win","Juv","","","egl","egl MR1","Aug",1999,2
"556",2,"P-",1999-08-05,"MR1","E2","Ruscoe","NEW","1077","1014","Rat","M",127,135,"Win","Adult","","","egl","egl MR1","Aug",1999,2
"582",2,"P-",1999-08-05,"R1","A3","Ruscoe","NEW","1058","1059","Rat","F",95,138,"Win","Adult","","","egl","egl R1","Aug",1999,2
"593",2,"P-",1999-08-05,"R1","H5","Ruscoe","NEW","1106","1148","Rat","F",100,NA,"Win","Juv","","","egl","egl R1","Aug",1999,2
"629",2,"P-",1999-08-06,"M2","C3","Yockney","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M2","Aug",1999,3
"683",2,"P-",1999-08-06,"R1","B1","Ruscoe","NEW","1016","1020","Rat","M",106,145,"","Adult","","Right Tag changed from 1011 to 1020 (6/08/1999).","egl","egl R1","Aug",1999,3
"686",2,"P-",1999-08-06,"R1","C2","Drew","NEW","1142","1115","Rat","M",100,157,"","Adult","","","egl","egl R1","Aug",1999,3
"695",2,"P-",1999-08-06,"R2","A1","Young","NEW","1176","1017","Rat","F",109,150,"","Adult","","","egl","egl R2","Aug",1999,3
"744",2,"P-",1999-08-07,"M1","I6","Young","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","Aug",1999,4
"810",2,"P-",1999-08-07,"MR2","I2","Ruscoe","NEW","1150","1143","Rat","M",33,110,"","Juv","","","egl","egl MR2","Aug",1999,4
"815",2,"P-",1999-08-07,"R1","C1","Drew","RECAP","1061","1020","Rat","M",99,155,"","Adult","","Right Tag changed from 1011 to 1020 (7/08/1999).","egl","egl R1","Aug",1999,4
"823",2,"P-",1999-08-07,"R1","H8","Drew","NEW","1128","1138","Rat","F",80,135,"","Juv","","","egl","egl R1","Aug",1999,4
"971",2,"P+",1999-08-10,"M2","A5","Ruscoe","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M2","Aug",1999,1
"978",2,"P+",1999-08-10,"M2","E8","Young","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M2","Aug",1999,1
"979",2,"P+",1999-08-10,"M2","F7","Young","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M2","Aug",1999,1
"989",2,"P+",1999-08-10,"MR1","G4","Drew","NEW","1132","1108","Rat","M",35,130,"","Juv","","","hol","hol MR1","Aug",1999,1
"1008",2,"P+",1999-08-10,"R1","H1","Drew","NEW","1122","1145","Rat","F",126,175,"","Adult","","","hol","hol R1","Aug",1999,1
"1019",2,"P+",1999-08-11,"MR1","I6","Drew","NEW","1111","1141","Rat","M",50,130,"","Juv","","","hol","hol MR1","Aug",1999,2
