N,se.N,lcl.N,ucl.N,var,grid,trip,grid.n,trip.no,valley,control,Valley,year,month,cum.seed,seed.account.N,log.seed,valley.rep,grid.rats,Conditions,grouping.1,grouping.2,grouping.3,grouping.4,true.date,treat.six
85.18592,17.258335746954813,53,114,"N[1,1]",egl M1,1,1,1,egl,control,egl,1999,May,590.7817672523555,6.935204400590561,2.7714270836204813,egl,M1,rats.removed,treat.highN,treat.highN,treat.highN,treat.highN,1999-05-01,egl control rats.removed
141.34645333333333,24.81369611493999,103,200,"N[2,1]",egl M1,2,1,2,egl,control,egl,1999,Aug,621.3394448688566,4.3958615884303045,2.793328925068311,egl,M1,rats.removed,treat.highN,treat.highN,treat.highN,treat.highN,1999-08-01,egl control rats.removed
125.54290666666667,15.717428731667969,100,162,"N[3,1]",egl M1,3,1,3,egl,control,egl,1999,Nov,631.5253374076904,5.030354594899378,2.800390779555798,egl,M1,rats.removed,treat.highN,treat.highN,treat.highN,treat.highN,1999-11-01,egl control rats.removed
23.769273333333334,1.66135796043198,22,28,"N[4,1]",egl M1,4,1,4,egl,control,egl,2000,Feb,20.371785077667433,0.8570638568533198,1.3090290857215254,egl,M1,rats.removed,treat.lowN,treat.highN,treat.highN,treat.highN,2000-02-01,egl control rats.removed
89.53025333333333,18.540501334567175,57,125,"N[5,1]",egl M1,5,1,5,egl,control,egl,2000,May,1324.1660300483832,14.790151716854107,3.121942442364381,egl,M1,rats.removed,treat.highN,treat.highN,treat.highN,treat.highN,2000-05-01,egl control rats.removed
132.57411333333334,24.56206008961371,88,179,"N[6,1]",egl M1,6,1,6,egl,control,egl,2000,Aug,1701.0440539852307,12.830891425298592,3.2307155612051277,egl,M1,rats.removed,treat.highN,treat.highN,treat.highN,treat.highN,2000-08-01,egl control rats.removed
122.07594,18.11906109926507,93,164,"N[7,1]",egl M1,7,1,7,egl,control,egl,2000,Nov,1716.322892793481,14.059468989495235,3.2345989952649017,egl,M1,rats.removed,treat.highN,treat.highN,treat.highN,treat.highN,2000-11-01,egl control rats.removed
31.727986666666666,4.5500564208859124,25,43,"N[8,1]",egl M1,8,1,8,egl,control,egl,2001,Feb,0,0,0,egl,M1,rats.removed,treat.lowN,treat.highN,treat.lowN,treat.lowN,2001-02-01,egl control rats.removed
17.7766,3.4972180339368575,13,26,"N[9,1]",egl M1,9,1,9,egl,control,egl,2001,May,0,0,0,egl,M1,rats.removed,treat.lowN,treat.highN,treat.lowN,treat.lowN,2001-05-01,egl control rats.removed
1.7254933333333333,1.484854916116846,0,5,"N[10,1]",egl M1,10,1,10,egl,control,egl,2001,Aug,0,0,0,egl,M1,rats.removed,treat.lowN,treat.lowN,treat.lowN,treat.lowN,2001-08-01,egl control rats.removed
1.8865333333333334,1.0505487486261853,1,5,"N[11,1]",egl M1,11,1,11,egl,control,egl,2001,Nov,0,0,0,egl,M1,rats.removed,treat.lowN,treat.lowN,treat.lowN,treat.lowN,2001-11-01,egl control rats.removed
