"","Control","Valley","Date","N","Rats","sd.s","se.s","lcl.s","lcl.slog","ucl.s","ucl.slog","cum.seed","grid"
"1","Yes","Eglinton",1999-05-01,6.95249750912716,"Full",0.649917136939472,0.636918794200683,6.31557871492648,553.122067983015,7.58941630332784,1977.15911567358,1045.7582602078,"Yes Eglinton"
"2","Yes","Eglinton",1999-08-01,7.13382211542366,"Full",0.778659649903362,0.763086456905295,6.37073565851836,584.487654091235,7.89690857232895,2688.95675063339,1253.65945261482,"Yes Eglinton"
"3","Yes","Eglinton",1999-11-01,7.14404450669484,"Full",0.78093574405902,0.765317029177839,6.378727477517,589.177488823532,7.90936153587268,2722.65159592147,1266.54057583103,"Yes Eglinton"
"4","Yes","Eglinton",2000-02-01,1.96982544185709,"Full",1.4937925104949,1.46391666028501,0.50590878157208,1.65849204281324,3.43374210214209,30.9924027584542,7.16942489761623,"Yes Eglinton"
"5","Yes","Eglinton",2000-05-01,7.12595770805284,"Full",0.702959219770241,0.688900035374836,6.437057672678,624.566414804992,7.81485774342767,2477.13453927885,1243.83883127478,"Yes Eglinton"
"6","Yes","Eglinton",2000-08-01,7.39606283733677,"Full",0.658024058149638,0.644863576986646,6.75119926035012,855.08361574681,8.04092641432342,3105.48882743746,1629.55595645763,"Yes Eglinton"
"7","Yes","Eglinton",2000-11-01,7.43981618867546,"Full",0.622855974205766,0.61039885472165,6.82941733395381,924.651892226895,8.05021504339711,3134.46894566898,1702.43726514056,"Yes Eglinton"
"8","Yes","Eglinton",2001-02-01,1.84211903591559,"Full",1.43261277005142,1.40396051465039,0.438158521265202,1.54985057222103,3.24607955056598,25.6894281326861,6.30989499845082,"Yes Eglinton"
"9","Yes","Eglinton",2001-05-01,1.84211903591559,"Full",1.43261277005142,1.40396051465039,0.438158521265202,1.54985057222103,3.24607955056598,25.6894281326861,6.30989499845082,"Yes Eglinton"
"10","Yes","Eglinton",2001-08-01,1.91403955402853,"Full",1.54130290672094,1.51047684858652,0.403562705442011,1.49714910863225,3.42451640261506,30.7077910527128,6.780423438299,"Yes Eglinton"
"11","Yes","Eglinton",2001-11-01,2.01540583105558,"Full",1.58956649453908,1.55777516464829,0.457630666407282,1.58032522807005,3.57318099570387,35.6297511640175,7.5037720270778,"Yes Eglinton"
"12","Yes","Eglinton",2002-05-01,0.813928248979059,"Full",0.939843387298201,0.921046519552237,-0.107118270573178,0.898419410127955,1.7349747685313,5.668784770235,2.25675569555432,"Yes Eglinton"
"13","Yes","Eglinton",2002-11-01,1.08523766530541,"Full",0.939843387298201,1.0635329119993,0.0217047533061083,1.02194201492314,2.14877057730472,8.57431046269221,2.96014325849616,"Yes Eglinton"
"14","Yes","Eglinton",2003-02-01,0,"Full",0,0,0,1,0,1,1,"Yes Eglinton"
"15","Yes","Eglinton",2003-05-01,4.20865717189671,"Full",2.06894562376376,2.34123237312466,1.86742479877205,6.47160922606844,6.54988954502137,699.166943080948,67.266152256575,"Yes Eglinton"
"16","Yes","Eglinton",2003-08-01,4.55946480729629,"Full",2.29006630370136,2.59145397793198,1.96801082936431,7.15642696630191,7.15091878522827,1275.27712284771,95.5323379356712,"Yes Eglinton"
"17","Yes","Eglinton",2003-11-01,4.57063903797584,"Full",2.30942063897383,2.6133554700639,1.95728356791194,7.08006839459106,7.18399450803973,1318.16316924345,96.6058248423693,"Yes Eglinton"
"18","Yes","Eglinton",2004-02-01,0,"Full",0,0,0,1,0,1,1,"Yes Eglinton"
"19","Yes","Eglinton",2004-05-01,0,"Full",0,0,0,1,0,1,1,"Yes Eglinton"
"20","Yes","Eglinton",2004-08-01,1.23576601321265,"Full",2.14040952115114,2.4221013858968,-1.18633537268415,0.305338166887407,3.65786739910945,38.7785554445634,3.44101337311912,"Yes Eglinton"
"21","Yes","Hollyford",2002-11-01,2.56217659825318,"Full",2.36875321192104,2.68049659691095,-0.118319998657769,0.888411716566619,5.24267319516414,189.175129127787,12.964004057394,"Yes Hollyford"
"22","Yes","Hollyford",2003-02-01,1.55745964522718,"Full",2.69759923627167,3.05262090464527,-1.49516125941809,0.224212445446619,4.61008054987245,100.49224394782,4.74674749317455,"Yes Hollyford"
"23","Yes","Hollyford",2003-05-01,6.6959932553589,"Full",0.756848108226209,0.856454259679319,5.83953899567958,343.620893428886,7.55244751503822,1905.40052544373,809.157234962923,"Yes Hollyford"
"24","Yes","Hollyford",2003-08-01,6.89278281119,"Full",0.81577836591222,0.923140123950646,5.96964268723936,391.365805767125,7.81592293514065,2479.7745682809,985.139062283127,"Yes Hollyford"
"25","Yes","Hollyford",2003-11-01,6.90101556251208,"Full",0.821611118285851,0.92974050461059,5.97127505790149,392.005181533767,7.83075606712267,2516.83154782932,993.282944480949,"Yes Hollyford"
"26","Yes","Hollyford",2004-02-01,0,"Full",0,0,0,1,0,1,1,"Yes Hollyford"
"27","Yes","Hollyford",2004-05-01,0.773667892839355,"Full",1.34003209858252,1.51638906996514,-0.74272117712578,0.475817368914268,2.29005696280449,9.87550020133887,2.16770259088127,"Yes Hollyford"
"28","Yes","Hollyford",2004-08-01,1.85276602963676,"Full",1.66866822549049,1.88827585638322,-0.0355098267464584,0.965113250260188,3.74104188601998,42.1418743295981,6.37743532356815,"Yes Hollyford"
"29","No","Hollyford",1999-05-01,2.48968582727705,"Full",1.86519965303422,1.82789565997353,0.661790167303514,1.93825903844247,4.31758148725058,75.0070033555296,12.0574873916724,"No Hollyford"
"30","No","Hollyford",1999-08-01,2.60324964534644,"Full",1.98362643436577,1.94395390567846,0.659295739667986,1.93343021660929,4.5472035510249,94.3681432877286,13.5075615755698,"No Hollyford"
"31","No","Hollyford",1999-11-01,2.60324964534644,"Full",1.98362643436577,1.94395390567846,0.659295739667986,1.93343021660929,4.5472035510249,94.3681432877286,13.5075615755698,"No Hollyford"
"32","No","Hollyford",2000-02-01,3.25785915594958,"Full",2.1785729501521,2.13500149114905,1.12285766480052,3.07362505537737,5.39286064709863,219.831346842435,25.9938287986257,"No Hollyford"
"33","No","Hollyford",2000-05-01,5.92949929864164,"Full",1.25855603061313,1.23338491000086,4.69611438864077,109.520789385831,7.1628842086425,1290.62801037742,375.96621989216,"No Hollyford"
"34","No","Hollyford",2000-08-01,6.1604081255525,"Full",1.26372030427613,1.23844589819061,4.92196222736189,137.271707388375,7.39885402374312,1634.11070451004,473.621332363433,"No Hollyford"
"35","No","Hollyford",2000-11-01,6.20258644968981,"Full",1.24358075032454,1.21870913531805,4.98387731437176,146.039526478383,7.42129558500785,1671.19728391031,494.02516129669,"No Hollyford"
"36","No","Hollyford",2001-02-01,0,"Full",0,0,0,1,0,1,1,"No Hollyford"
"37","No","Hollyford",2001-05-01,0,"Full",0,0,0,1,0,1,1,"No Hollyford"
"38","No","Hollyford",2001-08-01,0.40696412448953,"Full",0.813928248979059,0.797649683999478,-0.390685559509948,0.676592870788328,1.20461380848901,3.33547069883381,1.50225021070204,"No Hollyford"
"39","No","Hollyford",2001-11-01,1.21628772708758,"Full",1.55054490822266,1.51953401005821,-0.303246282970622,0.738417214389066,2.73582173714579,15.4224113986727,3.3746368788612,"No Hollyford"
"40","No","Hollyford",2002-05-01,1.92163244868989,"Full",2.31988112112451,2.27348349870202,-0.351851050012129,0.703384883343888,4.1951159473919,66.3614255654547,6.83210242750293,"No Hollyford"
